Month,US_Crude_Oil_Purchase_Price_Dollars_per_Barrel
Jul-24,79.07
Jun-24,77.45
May-24,78.16
Apr-24,83.15
Mar-24,78.97
Feb-24,74.96
Jan-24,72.26
Dec-23,71.01
Nov-23,77.46
Oct-23,84.65
Sep-23,87.96
Aug-23,79.78
Jul-23,74.07
Jun-23,68.59
May-23,70.14
Apr-23,77.23
Mar-23,72.09
Feb-23,74.32
Jan-23,75.71
Dec-22,76.45
Nov-22,84.43
Oct-22,86.61
Sep-22,84.62
Aug-22,93.76
Jul-22,100.84
Jun-22,113.77
May-22,108.29
Apr-22,103.34
Mar-22,107.07
Feb-22,89.41
Jan-22,80.33
Dec-21,70.56
Nov-21,76.45
Oct-21,78.51
Sep-21,69.09
Aug-21,65.68
Jul-21,70.12
Jun-21,68.58
May-21,62.8
Apr-21,59.87
Mar-21,60.43
Feb-21,56.44
Jan-21,49.47
Dec-20,43.92
Nov-20,38.25
Oct-20,36.39
Sep-20,36.82
Aug-20,39.37
Jul-20,37.44
Jun-20,33.81
May-20,18.02
Apr-20,15.18
Mar-20,31.01
Feb-20,49.66
Jan-20,56.55
Dec-19,58.41
Nov-19,54.96
Oct-19,53.14
Sep-19,55.14
Aug-19,53.63
Jul-19,56.47
Jun-19,54.34
May-19,59.73
Apr-19,63
Mar-19,57.46
Feb-19,52.6
Jan-19,48
Dec-18,47.63
Nov-18,55.65
Oct-18,65.18
Sep-18,63.54
Aug-18,62.64
Jul-18,67
Jun-18,62.8
May-18,66.16
Apr-18,63.5
Mar-18,60.68
Feb-18,61.18
Jan-18,62.25
Dec-17,56.98
Nov-17,55.19
Oct-17,49.12
Sep-17,47.17
Aug-17,44.96
Jul-17,43.42
Jun-17,42.17
May-17,45.19
Apr-17,47.23
Mar-17,46.39
Feb-17,49.41
Jan-17,48.19
Dec-16,47.12
Nov-16,41.65
Oct-16,45
Sep-16,40.55
Aug-16,40.46
Jul-16,40.71
Jun-16,43.96
May-16,41.02
Apr-16,35.59
Mar-16,31.87
Feb-16,25.52
Jan-16,27.02
Dec-15,32.26
Nov-15,38.19
Oct-15,42.34
Sep-15,41.6
Aug-15,39.98
Jul-15,47.7
Jun-15,55.88
May-15,54.38
Apr-15,49.3
Mar-15,42.66
Feb-15,44.35
Jan-15,43.06
Dec-14,54.86
Nov-14,71.07
Oct-14,78.84
Sep-14,86.87
Aug-14,90.72
Jul-14,96.7
Jun-14,98.68
May-14,95.74
Apr-14,96.49
Mar-14,96.17
Feb-14,96.86
Jan-14,89.57
Dec-13,91.85
Nov-13,88.7
Oct-13,96.18
Sep-13,102.32
Aug-13,102.96
Jul-13,101.41
Jun-13,93.82
May-13,94.75
Apr-13,94.41
Mar-13,95.54
Feb-13,95.01
Jan-13,95
Dec-12,89.81
Nov-12,89.64
Oct-12,92.24
Sep-12,95.98
Aug-12,92.53
Jul-12,86.1
Jun-12,83.59
May-12,95.57
Apr-12,103.62
Mar-12,105.42
Feb-12,102.04
Jan-12,98.99
Dec-11,98.71
Nov-11,100.18
Oct-11,92.28
Sep-11,90.22
Aug-11,89
Jul-11,97.82
Jun-11,97.3
May-11,102.46
Apr-11,108.8
Mar-11,99.19
Feb-11,86.69
Jan-11,85.66
Dec-10,83.98
Nov-10,79.2
Oct-10,76.02
Sep-10,71.23
Aug-10,72.07
Jul-10,71.37
Jun-10,70.77
May-10,70.91
Apr-10,78.8
Mar-10,75.77
Feb-10,72.74
Jan-10,72.87
